DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT11,2010,63,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT11,2011,67,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT11,2012,73,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT11,2013,78,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT11,2014,80,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT11,2016,83,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT11,2017,85,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT11,2018,89,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT11,2019,87,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT11,2020,86,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT11,2021,91,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT12,2010,62,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT12,2011,74,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT12,2012,75,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT12,2013,74,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT12,2014,76,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT12,2016,83,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT12,2017,89,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT12,2018,85,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT12,2019,91,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT12,2020,91,
