DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT11,2006,30,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT11,2007,,u
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT11,2008,24,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT11,2009,25,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT11,2010,22,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT11,2011,22,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT11,2012,17,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT11,2013,18,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT11,2014,14,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT11,2017,10,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT12,2006,25,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT12,2007,23,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT12,2008,20,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT12,2009,20,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT12,2010,17,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT12,2011,14,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT12,2012,15,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT12,2013,15,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT12,2014,16,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT12,2017,10,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT13,2006,19,
