DATAFLOW,LAST UPDATE,freq,sectperf,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT11,2009,0.77,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT11,2011,0.81,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT11,2013,0.89,b
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT11,2015,0.99,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT11,2017,0.85,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT11,2019,0.86,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT12,2009,1.32,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT12,2011,1.46,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT12,2013,1.6,b
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT12,2015,1.74,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT12,2017,1.81,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT12,2019,1.84,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT13,2009,3.73,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT13,2011,3.56,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT13,2013,3.54,b
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT13,2015,3.63,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT13,2017,3.59,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT13,2019,3.64,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT21,2009,2.41,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT21,2011,2.74,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT21,2013,2.83,b
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT21,2015,3.13,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT21,2017,2.93,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT21,2019,3.21,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT22,2009,3.64,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT22,2011,4.17,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT22,2013,4.85,b
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT22,2015,5.11,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT22,2017,4.89,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT22,2019,5.15,
ESTAT:TGS00042(1.0),29/11/21 11:00:00,A,TOTAL,PC_GDP,AT31,2009,2.36,
