DATAFLOW,LAST UPDATE,freq,nace_r2,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT11,2009,,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT11,2010,2.5,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT11,2011,3.4,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT11,2012,3.1,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT11,2013,,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT11,2014,2.3,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT11,2015,2.6,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT11,2016,3.0,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT11,2017,3.2,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT11,2018,3.8,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT11,2019,2.8,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT11,2020,2.5,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT12,2009,3.8,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT12,2010,3.4,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT12,2011,3.4,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT12,2012,3.3,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT12,2013,3.4,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT12,2014,4.2,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT12,2015,4.3,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT12,2016,4.7,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT12,2017,4.9,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT12,2018,3.9,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT12,2019,3.2,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT12,2020,2.9,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT13,2009,6.6,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT13,2010,6.8,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT13,2011,6.2,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT13,2012,5.8,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT13,2013,6.9,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT13,2014,7.5,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT13,2015,6.3,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT13,2016,6.5,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT13,2017,6.8,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT13,2018,7.0,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT13,2019,6.6,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT13,2020,7.2,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT21,2009,3.5,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT21,2010,3.5,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT21,2011,3.9,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT21,2012,3.8,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT21,2013,3.7,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT21,2014,3.2,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT21,2015,3.2,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT21,2016,3.9,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT21,2017,4.2,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT21,2018,4.3,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT21,2019,4.7,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT21,2020,4.5,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT22,2009,3.2,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT22,2010,3.2,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT22,2011,2.5,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT22,2012,2.6,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT22,2013,3.0,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT22,2014,3.2,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT22,2015,3.8,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT22,2016,4.1,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT22,2017,3.9,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT22,2018,3.8,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT22,2019,3.5,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT22,2020,3.8,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT31,2009,2.1,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT31,2010,2.3,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT31,2011,2.3,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT31,2012,2.6,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT31,2013,2.7,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT31,2014,2.8,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT31,2015,2.8,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT31,2016,3.3,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT31,2017,3.1,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT31,2018,3.0,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT31,2019,3.2,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT31,2020,3.4,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT32,2009,2.4,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT32,2010,2.5,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT32,2011,2.4,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT32,2012,2.7,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT32,2013,2.8,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT32,2014,2.5,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT32,2015,2.9,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT32,2016,3.2,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT32,2017,2.9,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT32,2018,2.7,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT32,2019,2.8,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT32,2020,2.8,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT33,2009,3.1,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT33,2010,2.8,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT33,2011,3.0,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT33,2012,3.4,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT33,2013,3.4,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT33,2014,3.6,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT33,2015,3.8,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT33,2016,3.9,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT33,2017,3.5,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT33,2018,3.3,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT33,2019,3.6,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT33,2020,3.6,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT34,2009,2.6,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT34,2010,2.6,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT34,2011,2.6,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT34,2012,2.5,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT34,2013,2.4,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT34,2014,2.5,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT34,2015,2.6,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT34,2016,2.4,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT34,2017,2.7,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT34,2018,2.3,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT34,2019,2.1,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,AT34,2020,2.1,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE10,2009,5.8,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE10,2010,7.1,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE10,2011,6.4,b
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE10,2012,7.0,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE10,2013,5.6,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE10,2014,6.3,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE10,2015,6.2,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE10,2016,5.8,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE10,2017,6.1,b
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE10,2018,7.4,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE10,2019,6.6,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE10,2020,6.6,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE21,2009,5.4,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE21,2010,5.9,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE21,2011,5.4,b
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE21,2012,5.7,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE21,2013,5.3,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE21,2014,5.3,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE21,2015,4.8,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE21,2016,5.0,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE21,2017,5.5,b
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE21,2018,5.8,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE21,2019,6.4,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE21,2020,5.7,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE22,2009,3.2,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE22,2010,3.3,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE22,2011,2.9,b
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE22,2012,3.3,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE22,2013,3.0,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE22,2014,2.9,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE22,2015,3.1,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE22,2016,2.8,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE22,2017,3.0,b
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE22,2018,2.5,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE22,2019,3.5,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE22,2020,4.7,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE23,2009,3.6,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE23,2010,4.0,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE23,2011,3.9,b
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE23,2012,3.7,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE23,2013,4.3,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE23,2014,4.1,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE23,2015,3.9,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE23,2016,4.0,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE23,2017,4.6,b
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE23,2018,4.4,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE23,2019,5.0,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE23,2020,5.1,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE24,2009,6.7,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE24,2010,7.0,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE24,2011,6.6,b
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE24,2012,7.1,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE24,2013,6.2,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE24,2014,6.1,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE24,2015,6.0,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE24,2016,6.5,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE24,2017,7.0,b
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE24,2018,6.5,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE24,2019,6.5,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE24,2020,6.9,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE25,2009,2.3,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE25,2010,2.3,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE25,2011,2.6,b
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE25,2012,2.7,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE25,2013,2.9,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE25,2014,2.3,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE25,2015,2.4,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE25,2016,2.7,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE25,2017,2.8,b
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE25,2018,2.6,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE25,2019,2.8,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE25,2020,2.6,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE31,2009,9.1,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE31,2010,8.9,
