DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AL,2017,23.7,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AL,2018,23.4,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AL,2019,23.0,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AL01,2017,25.6,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AL01,2018,25.1,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AL01,2019,25.9,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AL02,2017,20.8,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AL02,2018,23.6,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AL02,2019,22.7,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AL03,2017,25.6,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AL03,2018,21.6,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AL03,2019,20.8,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AT,2003,13.2,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AT,2004,13.0,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AT,2005,12.6,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AT,2006,12.6,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AT,2007,12.0,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AT,2008,15.2,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AT,2009,14.5,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AT,2010,14.7,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AT,2011,14.5,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AT,2012,14.4,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AT,2013,14.4,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AT,2014,14.1,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AT,2015,13.9,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AT,2016,14.1,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AT,2017,14.4,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AT,2018,14.3,
ESTAT:ILC_LI41(1.0),17/12/21 23:00:00,A,PC,AT,2019,13.3,
