DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT,2014,9.1,
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT,2015,8.2,
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT,2016,8.1,
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT,2017,8.3,
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT,2018,7.3,
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT11,2014,5.0,u
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT11,2015,4.1,u
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT11,2016,4.4,u
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT11,2017,4.9,u
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT11,2018,4.6,u
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT12,2014,6.1,e
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT12,2015,5.9,e
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT12,2016,5.8,e
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT12,2017,5.7,e
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT12,2018,5.7,e
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT13,2014,14.8,e
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT13,2015,15.1,e
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT13,2016,14.4,e
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT13,2017,14.5,e
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT13,2018,14.4,e
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT21,2014,10.0,u
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT21,2015,9.5,e
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT21,2016,10.0,e
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT21,2017,7.3,e
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT21,2018,8.2,u
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT22,2014,7.4,e
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT22,2015,8.2,e
ESTAT:ILC_LVHL21(1.0),17/12/21 23:00:00,A,PC,AT22,2016,9.1,e
