DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL,2015,100.1,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL,2016,99.9,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL,2017,99.8,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL,2018,99.6,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL,2019,99.1,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL0,2015,100.1,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL0,2016,99.9,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL0,2017,99.8,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL0,2018,99.6,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL0,2019,99.1,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL01,2015,77.0,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL01,2016,76.6,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL01,2017,76.1,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL01,2018,75.5,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL01,2019,74.8,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL011,2015,52.7,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL011,2016,51.6,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL011,2017,49.9,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL011,2018,48.6,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL011,2019,47.6,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL012,2015,362.5,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL012,2016,366.9,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL012,2017,373.0,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL012,2018,376.5,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL012,2019,377.2,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL013,2015,34.2,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL013,2016,33.6,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL013,2017,32.8,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL013,2018,32.2,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL013,2019,31.8,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL014,2015,78.9,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL014,2016,78.0,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL014,2017,77.0,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL014,2018,75.9,
