DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AL,2017,51.8,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AL,2018,49.0,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AL,2019,46.2,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AL01,2017,56.7,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AL01,2018,48.2,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AL01,2019,47.3,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AL02,2017,49.4,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AL02,2018,51.0,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AL02,2019,47.6,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AL03,2017,50.3,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AL03,2018,47.0,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AL03,2019,43.3,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT,2003,15.7,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT,2004,17.9,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT,2005,17.4,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT,2006,17.8,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT,2007,16.7,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT,2008,20.6,b
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT,2009,19.1,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT,2010,18.9,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT,2011,19.2,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT,2012,18.5,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT,2013,18.8,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT,2014,19.2,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT,2015,18.3,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT,2016,18.0,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT,2017,18.1,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT,2018,17.5,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT,2019,16.9,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT,2020,17.5,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT11,2014,11.9,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT11,2015,14.2,u
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT11,2016,15.1,u
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT11,2017,16.3,u
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT11,2018,14.6,u
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT12,2014,14.9,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT12,2015,13.6,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT12,2016,13.0,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT12,2017,12.6,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT12,2018,12.5,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT13,2014,28.4,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT13,2015,27.3,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT13,2016,26.0,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT13,2017,26.7,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT13,2018,27.5,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT21,2014,18.7,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT21,2015,16.6,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT21,2016,16.3,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT21,2017,16.0,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT21,2018,17.4,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT22,2014,16.3,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT22,2015,17.1,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT22,2016,18.4,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT22,2017,18.3,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT22,2018,17.6,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT31,2014,15.2,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT31,2015,15.5,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT31,2016,14.3,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT31,2017,13.2,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT31,2018,11.6,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT32,2014,16.0,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT32,2015,15.6,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT32,2016,15.5,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT32,2017,15.3,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT32,2018,14.4,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT33,2014,18.4,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT33,2015,19.2,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT33,2016,19.2,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT33,2017,17.7,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT33,2018,16.3,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT34,2014,21.9,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT34,2015,22.6,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT34,2016,23.2,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT34,2017,22.2,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,AT34,2018,21.9,e
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE,2003,23.4,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE,2004,21.6,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE,2005,22.6,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE,2006,21.5,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE,2007,21.6,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE,2008,20.8,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE,2009,20.2,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE,2010,20.8,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE,2011,21.0,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE,2012,21.6,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE,2013,20.8,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE,2014,21.2,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE,2015,21.1,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE,2016,20.9,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE,2017,20.6,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE,2018,20.0,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE,2019,19.5,b
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE,2020,18.9,b
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE1,2019,37.8,b
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE1,2020,34.3,b
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE2,2019,13.2,b
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE2,2020,13.0,b
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE3,2019,24.6,b
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BE3,2020,24.6,b
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BG,2006,61.3,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BG,2007,60.7,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BG,2008,44.8,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BG,2009,46.2,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BG,2010,49.2,
ESTAT:ILC_PEPS11(1.0),17/12/21 23:00:00,A,PC,BG,2011,49.1,
