DATAFLOW,LAST UPDATE,freq,isced11,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT11,2009,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT11,2010,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT11,2011,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT11,2012,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT11,2013,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT11,2014,,bu
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT11,2015,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT11,2016,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT11,2017,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT11,2018,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT11,2019,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT11,2020,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT11,2009,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT11,2010,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT11,2011,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT11,2012,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT11,2013,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT11,2014,,bu
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT11,2015,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT11,2016,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT11,2017,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT11,2018,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT11,2019,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT11,2020,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT11,2009,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT11,2010,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT11,2011,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT11,2012,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT11,2013,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT11,2014,,bu
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT11,2015,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT11,2016,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT11,2017,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT11,2018,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT11,2019,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT11,2020,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED3_4,F,Y_GE15,PC,AT11,2009,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED3_4,F,Y_GE15,PC,AT11,2010,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED3_4,F,Y_GE15,PC,AT11,2011,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED3_4,F,Y_GE15,PC,AT11,2012,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED3_4,F,Y_GE15,PC,AT11,2013,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED3_4,F,Y_GE15,PC,AT11,2014,,bu
